class_id,one_based_label,name,set
0,1,brush_hair,seen
2,3,catch,seen
3,4,chew,seen
4,5,clap,seen
5,6,climb,seen
7,8,dive,seen
9,10,dribble,seen
10,11,drink,seen
11,12,eat,seen
14,15,flic_flac,seen
15,16,golf,seen
17,18,hit,seen
18,19,hug,seen
20,21,kick,seen
21,22,kick_ball,seen
22,23,kiss,seen
24,25,pick,seen
26,27,pullup,seen
28,29,push,seen
30,31,ride_bike,seen
34,35,shoot_ball,seen
35,36,shoot_bow,seen
38,39,situp,seen
40,41,smoke,seen
41,42,somersault,seen
43,44,swing_baseball,seen
44,45,sword,seen
45,46,sword_exercise,seen
46,47,talk,seen
47,48,throw,seen
48,49,turn,seen
1,2,cartwheel,unseen
6,7,climb_stairs,unseen
8,9,draw_sword,unseen
12,13,fall_floor,unseen
13,14,fencing,unseen
16,17,handstand,unseen
19,20,jump,unseen
23,24,laugh,unseen
25,26,pour,unseen
27,28,punch,unseen
29,30,pushup,unseen
31,32,ride_horse,unseen
32,33,run,unseen
33,34,shake_hands,unseen
36,37,shoot_gun,unseen
37,38,sit,unseen
39,40,smile,unseen
42,43,stand,unseen
49,50,walk,unseen
50,51,wave,unseen
