class_id,one_based_label,name,set
1,2,ApplyLipstick,seen
2,3,Archery,seen
4,5,BalanceBeam,seen
5,6,BandMarching,seen
6,7,BaseballPitch,seen
7,8,Basketball,seen
8,9,BasketballDunk,seen
9,10,BenchPress,seen
11,12,Billiards,seen
12,13,BlowDryHair,seen
13,14,BlowingCandles,seen
14,15,BodyWeightSquats,seen
15,16,Bowling,seen
16,17,BoxingPunchingBag,seen
17,18,BoxingSpeedBag,seen
19,20,BrushingTeeth,seen
20,21,CleanAndJerk,seen
22,23,CricketBowling,seen
23,24,CricketShot,seen
24,25,CuttingInKitchen,seen
26,27,Drumming,seen
27,28,Fencing,seen
28,29,FieldHockeyPenalty,seen
29,30,FloorGymnastics,seen
30,31,FrisbeeCatch,seen
31,32,FrontCrawl,seen
33,34,Haircut,seen
34,35,Hammering,seen
35,36,HammerThrow,seen
36,37,HandstandPushups,seen
37,38,HandstandWalking,seen
38,39,HeadMassage,seen
40,41,HorseRace,seen
42,43,HulaHoop,seen
43,44,IceDancing,seen
44,45,JavelinThrow,seen
45,46,JugglingBalls,seen
46,47,JumpRope,seen
48,49,Kayaking,seen
49,50,Knitting,seen
51,52,Lunges,seen
52,53,MilitaryParade,seen
53,54,Mixing,seen
54,55,MoppingFloor,seen
55,56,Nunchucks,seen
57,58,PizzaTossing,seen
58,59,PlayingCello,seen
59,60,PlayingDaf,seen
60,61,PlayingDhol,seen
61,62,PlayingFlute,seen
62,63,PlayingGuitar,seen
63,64,PlayingPiano,seen
64,65,PlayingSitar,seen
65,66,PlayingTabla,seen
66,67,PlayingViolin,seen
68,69,PommelHorse,seen
69,70,PullUps,seen
70,71,Punch,seen
71,72,PushUps,seen
73,74,RockClimbingIndoor,seen
74,75,RopeClimbing,seen
76,77,SalsaSpin,seen
77,78,ShavingBeard,seen
78,79,Shotput,seen
79,80,SkateBoarding,seen
81,82,Skijet,seen
82,83,SkyDiving,seen
83,84,SoccerJuggling,seen
85,86,StillRings,seen
86,87,SumoWrestling,seen
88,89,Swing,seen
89,90,TableTennisShot,seen
90,91,TaiChi,seen
91,92,TennisSwing,seen
93,94,TrampolineJumping,seen
94,95,Typing,seen
95,96,UnevenBars,seen
97,98,WalkingWithDog,seen
98,99,WallPushups,seen
99,100,WritingOnBoard,seen
0,1,ApplyEyeMakeup,unseen
3,4,BabyCrawling,unseen
10,11,Biking,unseen
18,19,BreastStroke,unseen
21,22,CliffDiving,unseen
25,26,Diving,unseen
32,33,GolfSwing,unseen
39,40,HighJump,unseen
41,42,HorseRiding,unseen
47,48,JumpingJack,unseen
50,51,LongJump,unseen
56,57,ParallelBars,unseen
67,68,PoleVault,unseen
72,73,Rafting,unseen
75,76,Rowing,unseen
80,81,Skiing,unseen
84,85,SoccerPenalty,unseen
87,88,Surfing,unseen
92,93,ThrowDiscus,unseen
96,97,VolleyballSpiking,unseen
100,101,YoYo,unseen
