class_id,one_based_label,name,set
0,1,ApplyEyeMakeup,seen
1,2,ApplyLipstick,seen
2,3,Archery,seen
5,6,BandMarching,seen
6,7,BaseballPitch,seen
7,8,Basketball,seen
8,9,BasketballDunk,seen
9,10,BenchPress,seen
10,11,Biking,seen
11,12,Billiards,seen
13,14,BlowingCandles,seen
14,15,BodyWeightSquats,seen
15,16,Bowling,seen
16,17,BoxingPunchingBag,seen
17,18,BoxingSpeedBag,seen
18,19,BreastStroke,seen
19,20,BrushingTeeth,seen
20,21,CleanAndJerk,seen
21,22,CliffDiving,seen
22,23,CricketBowling,seen
23,24,CricketShot,seen
24,25,CuttingInKitchen,seen
26,27,Drumming,seen
28,29,FieldHockeyPenalty,seen
29,30,FloorGymnastics,seen
30,31,FrisbeeCatch,seen
31,32,FrontCrawl,seen
32,33,GolfSwing,seen
34,35,Hammering,seen
36,37,HandstandPushups,seen
37,38,HandstandWalking,seen
38,39,HeadMassage,seen
39,40,HighJump,seen
40,41,HorseRace,seen
41,42,HorseRiding,seen
43,44,IceDancing,seen
44,45,JavelinThrow,seen
46,47,JumpRope,seen
47,48,JumpingJack,seen
48,49,Kayaking,seen
49,50,Knitting,seen
50,51,LongJump,seen
52,53,MilitaryParade,seen
53,54,Mixing,seen
54,55,MoppingFloor,seen
55,56,Nunchucks,seen
57,58,PizzaTossing,seen
58,59,PlayingCello,seen
60,61,PlayingDhol,seen
61,62,PlayingFlute,seen
62,63,PlayingGuitar,seen
63,64,PlayingPiano,seen
64,65,PlayingSitar,seen
66,67,PlayingViolin,seen
67,68,PoleVault,seen
68,69,PommelHorse,seen
69,70,PullUps,seen
71,72,PushUps,seen
72,73,Rafting,seen
73,74,RockClimbingIndoor,seen
74,75,RopeClimbing,seen
75,76,Rowing,seen
76,77,SalsaSpin,seen
77,78,ShavingBeard,seen
78,79,Shotput,seen
80,81,Skiing,seen
81,82,Skijet,seen
82,83,SkyDiving,seen
83,84,SoccerJuggling,seen
84,85,SoccerPenalty,seen
86,87,SumoWrestling,seen
89,90,TableTennisShot,seen
91,92,TennisSwing,seen
92,93,ThrowDiscus,seen
93,94,TrampolineJumping,seen
94,95,Typing,seen
95,96,UnevenBars,seen
97,98,WalkingWithDog,seen
98,99,WallPushups,seen
99,100,WritingOnBoard,seen
3,4,BabyCrawling,unseen
4,5,BalanceBeam,unseen
12,13,BlowDryHair,unseen
25,26,Diving,unseen
27,28,Fencing,unseen
33,34,Haircut,unseen
35,36,HammerThrow,unseen
42,43,HulaHoop,unseen
45,46,JugglingBalls,unseen
51,52,Lunges,unseen
56,57,ParallelBars,unseen
59,60,PlayingDaf,unseen
65,66,PlayingTabla,unseen
70,71,Punch,unseen
79,80,SkateBoarding,unseen
85,86,StillRings,unseen
87,88,Surfing,unseen
88,89,Swing,unseen
90,91,TaiChi,unseen
96,97,VolleyballSpiking,unseen
100,101,YoYo,unseen
